Round,Global_Test_Loss,Accuracy,Precision,Recall,F1_Score,Total_Client_Training_Time_sec,Server_Aggregation_Time_sec,Num_Clients
1,1.2738929748535157,0.896,0.1792,0.2,0.1890295358649789,0.2101140022277832,0.0022966861724853516,5
2,0.9256901025772095,0.896,0.1792,0.2,0.1890295358649789,0.09343075752258301,0.0017614364624023438,5
3,0.600435483455658,0.896,0.1792,0.2,0.1890295358649789,0.09537291526794434,0.0018346309661865234,5
4,0.4849323868751526,0.896,0.1792,0.2,0.1890295358649789,0.08956408500671387,0.0026235580444335938,5
5,0.5021057248115539,0.896,0.1792,0.2,0.1890295358649789,0.09572029113769531,0.001964092254638672,5
6,0.49087631702423096,0.896,0.1792,0.2,0.1890295358649789,0.09948039054870605,0.0024869441986083984,5
7,0.48831133246421815,0.896,0.1792,0.2,0.1890295358649789,0.08822417259216309,0.0019173622131347656,5
8,0.4760547399520874,0.896,0.1792,0.2,0.1890295358649789,0.09079146385192871,0.0017921924591064453,5
9,0.49001080393791197,0.896,0.1792,0.2,0.1890295358649789,0.09063458442687988,0.0023212432861328125,5
10,0.47339954376220705,0.896,0.1792,0.2,0.1890295358649789,0.08400177955627441,0.0017249584197998047,5
11,0.46693530678749084,0.896,0.1792,0.2,0.1890295358649789,0.10938763618469238,0.0016582012176513672,5
12,0.4625625193119049,0.896,0.1792,0.2,0.1890295358649789,0.08568191528320312,0.0020661354064941406,5
13,0.455617618560791,0.896,0.1792,0.2,0.1890295358649789,0.10356569290161133,0.002689361572265625,5
14,0.45309977531433104,0.896,0.1792,0.2,0.1890295358649789,0.10800743103027344,0.002619504928588867,5
15,0.4289271891117096,0.896,0.1792,0.2,0.1890295358649789,0.08722138404846191,0.0017099380493164062,5
16,0.4137579441070557,0.904,0.3806451612903226,0.24,0.25649717514124293,0.09114432334899902,0.0020117759704589844,5
17,0.4065895855426788,0.904,0.2821138211382114,0.24,0.24778115501519754,0.08595943450927734,0.002073049545288086,5
18,0.402717524766922,0.912,0.31693989071038253,0.27999999999999997,0.2914529914529915,0.09069967269897461,0.002102375030517578,5
19,0.3924559950828552,0.912,0.31693989071038253,0.27999999999999997,0.2914529914529915,0.09629249572753906,0.0017304420471191406,5
20,0.3781734436750412,0.912,0.31693989071038253,0.27999999999999997,0.2914529914529915,0.09267163276672363,0.0014805793762207031,5
21,0.3784998178482056,0.912,0.31693989071038253,0.27999999999999997,0.2914529914529915,0.0867455005645752,0.002130270004272461,5
22,0.3714082449674606,0.912,0.31693989071038253,0.27999999999999997,0.2914529914529915,0.09318137168884277,0.001718759536743164,5
23,0.370015749335289,0.912,0.28512396694214875,0.27999999999999997,0.2811635670004769,0.09415388107299805,0.0020716190338134766,5
24,0.3658135622739792,0.912,0.28512396694214875,0.27999999999999997,0.2811635670004769,0.08493566513061523,0.0015010833740234375,5
25,0.37171800136566163,0.912,0.28512396694214875,0.27999999999999997,0.2811635670004769,0.09281778335571289,0.002057313919067383,5
26,0.3617326021194458,0.912,0.28512396694214875,0.27999999999999997,0.2811635670004769,0.09364056587219238,0.0026085376739501953,5
27,0.3603643387556076,0.912,0.28512396694214875,0.27999999999999997,0.2811635670004769,0.09250879287719727,0.0021059513092041016,5
28,0.35952597856521606,0.904,0.265,0.27821428571428575,0.27137931034482754,0.09917688369750977,0.002523183822631836,5
29,0.35675308406352996,0.904,0.265,0.27821428571428575,0.27137931034482754,0.08944368362426758,0.0016322135925292969,5
30,0.3601348787546158,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.09663820266723633,0.002607107162475586,5
31,0.3553973942995071,0.904,0.265,0.27821428571428575,0.27137931034482754,0.0886843204498291,0.002146005630493164,5
32,0.3551908940076828,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.0911719799041748,0.002063751220703125,5
33,0.35752333998680114,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.08787369728088379,0.0014727115631103516,5
34,0.3550912946462631,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.0806424617767334,0.001455068588256836,5
35,0.35219853222370145,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.07302546501159668,0.0013685226440429688,5
36,0.35219753384590147,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.06693196296691895,0.0013623237609863281,5
37,0.34967283308506014,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.08254313468933105,0.001668691635131836,5
38,0.3500357002019882,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.09633207321166992,0.002660989761352539,5
39,0.35120207965373995,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.09290862083435059,0.0016994476318359375,5
40,0.3474718272686005,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.09714818000793457,0.0021665096282958984,5
41,0.3468200147151947,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.09036040306091309,0.00165557861328125,5
42,0.3461748629808426,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.09022307395935059,0.001997709274291992,5
43,0.34635078608989717,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.09933352470397949,0.0018227100372314453,5
44,0.34523936808109285,0.904,0.25322128851540615,0.27821428571428575,0.2649350649350649,0.09757494926452637,0.0014739036560058594,5
45,0.3444746136665344,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.09989738464355469,0.0018453598022460938,5
46,0.3449271351099014,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.08798933029174805,0.002111673355102539,5
47,0.34450788199901583,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.11188268661499023,0.0026967525482177734,5
48,0.3463033765554428,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.09920883178710938,0.0024290084838867188,5
49,0.34215062856674194,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.09368228912353516,0.0019159317016601562,5
50,0.34245199859142306,0.912,0.4665546218487395,0.34488095238095234,0.3722077922077922,0.11192440986633301,0.0020287036895751953,5
